都道府県,年月日,最低気温(℃),最高気温(℃),平均気温(℃)
東京,2024/10/01,20.1,26.6,23.3
東京,2024/10/02,22.0,31.9,26.5
東京,2024/10/03,21.6,25.4,23.1
東京,2024/10/04,22.3,30.4,25.9
東京,2024/10/05,18.9,24.5,21.3
東京,2024/10/06,19.1,22.9,21.3
東京,2024/10/07,20.7,29.9,25.0
東京,2024/10/08,15.1,25.3,18.8
東京,2024/10/09,14.9,17.7,16.0
東京,2024/10/10,15.2,22.1,17.8
東京,2024/10/11,14.3,24.3,19.0
東京,2024/10/12,16.4,25.8,20.6
東京,2024/10/13,16.9,26.6,20.9
東京,2024/10/14,16.8,26.4,20.8
東京,2024/10/15,17.9,26.6,22.1
東京,2024/10/16,19.0,26.4,22.6
東京,2024/10/17,20.7,26.0,22.8
東京,2024/10/18,20.5,22.9,21.6
東京,2024/10/19,21.2,30.1,24.2
東京,2024/10/20,13.3,22.7,17.4
東京,2024/10/21,11.5,20.5,16.2
東京,2024/10/22,14.5,24.4,19.7
東京,2024/10/23,18.8,24.8,21.9
東京,2024/10/24,19.8,26.3,22.6
東京,2024/10/25,18.3,21.8,20.2
東京,2024/10/26,17.2,20.7,19.0
東京,2024/10/27,16.6,23.8,19.7
東京,2024/10/28,17.2,20.7,18.8
東京,2024/10/29,12.4,18.8,15.4
東京,2024/10/30,12.6,22.4,16.8
東京,2024/10/31,12.9,20.2,16.2
東京,2024/11/01,12.1,21.9,17.0
